English	Turkish
Dont pick up Arrow/bolts	Okları toplama
Dont pick up Elixirs	Elixirleri toplama
Dont pick up Golds	Altını toplama
Dont pick up HP / MP potions	HP / MP iksirlerini toplama
Dont pick up Special Return scrolls	Özel dönüş parşömenlerini toplama
Dont pick up Vigor potions	Vigor iksirlerini toplama
Dou you want teleport?	Işınlanmak istiyor musunuz?
DPS	Dps Meter
Drop Logs	Düşen Eşya Kayıtları
Durability %d	Dayanıklılık %d
Durability +%d	Dayanıklılık +%d
Durability +0	Dayanıklılık +0
Dynamic Ranking	Dinamik Sıralama
E - Mail	E-posta
Elapsed Time	Geçen Süre
Electric	Elektrik
Elixir is not found.	İksir bulunamadı.
Emoji list	Emoji listesi
Enable HUD	HUD'u Etkinleştir
Enable Infinity Zoom	Sınırsız Yakınlaştırmayı Etkinleştir
Enter a valid wager.	Geçerli bir bahis girin.
Enter opponent name.	Rakibin adını girin.
ENTER SEAL	MÜHRÜ GİRİN
Enter Secondary Passcode	İkincil Şifreyi Girin
Enter the character name.	Karakter adını girin.
Enter the code within %d seconds.	Kodu %d saniye içinde girin.
Enter the complete four-digit seal.	Dört haneli mührü eksiksiz girin.
Enter the grant name	Yetki adını girin
Enter the new Item Mall	Yeni Item Mall'a Gir
Enter the opponent character and the gold wager amount.	Rakip karakteri ve altın bahis miktarını girin.
Enter the verification code using the keypad.	Doğrulama kodunu tuş takımıyla girin.
EU	EU
Event Name	Etkinlik Adı
Event Register	Etkinlik Kaydı
Event Schedule	Etkinlik Takvimi
Event Scheduling	Etkinlik Takvimi
Exchange function is not work for this item.	Değiştirme işlevi bu eşyada kullanılamaz.
Exchange function is work only weapons.	Değiştirme işlevi yalnızca silahlarda kullanılabilir.
Exchange Item Window	Eşya Değiştirme Penceresi
Exp Free / Item Free	EXP Serbest / Eşya Serbest
Exp Free / Item Share	EXP Serbest / Eşya Paylaşımlı
Exp Share / Item Free	EXP Paylaşımlı / Eşya Serbest
Exp Share / Item Share	EXP Paylaşımlı / Eşya Paylaşımlı
EXPIRES %02d:%02d	SÜRE SONU %02d:%02d
EXPIRES 01:00	SÜRE 01:00
Expires in %d seconds	%d saniye içinde sona erer
Extend Background Limit : OFF	Arka Plan Sınırını Genişlet : KAPALI
Extend Background Limit : ON	Arka Plan Sınırını Genişlet : AÇIK
Failed to load drop logs	Düşen eşya kayıtları yüklenemedi
Favorites	Favoriler
Filter	Filtre
For open hunting on the Silkroad!	Silkroad'da otomatik ava başlamak için!
FOR SALE	SATILIK
From	Gönderen
General	Genel
Giant	Dev
Glavie	Glaive
Glow Type	Parlama Türü
Go Offline	Çevrimdışı Ol
Gold	Altın
Gold amount is not enough for equip translation.	Eşya değiştirme için yeterli Altın yok.
Gold Wager Amount	Altın Bahis Miktarı
GOODS RELEASE CODE	MAL SERBEST BIRAKMA KODU
Grant name must be consist min 2 characters.	Verilen ad en az 2 karakterden oluşmalıdır.
Grant name must consist 2~12 English letters.	Verilen ad 2-12 İngilizce harften oluşmalıdır.
Green Team	Yeşil Takım
Guild	Lonca
Harp	Arp
Hide item informations	Eşya bilgilerini gizle
History : - %ls Silk	Geçmiş : - %ls Silk
Hold on. The wheel is slowing down.	Bekleyin. Çark yavaşlıyor.
HP	HP
Hungury	Açlık
Hunter	Avcı
Icon Manager	Simge Yöneticisi
ID must be 4-16 characters.	ID 4-16 karakter olmalıdır.
ignore ????????????? %d	yoksay ????????????? %d
Immortal stone is not found.	Ölümsüzlük taşı bulunamadı.
In %ldd %ldh %ldm %lds	%ldg %ldsa %lddk %ldsn içinde
In 1 hour	1 saat içinde
In 10 hours	10 saat içinde
In 24 hours	24 saat içinde
In 3 hours	3 saat içinde
In 5 hours	5 saat içinde
Incoming PvP Challenge	Gelen PvP Meydan Okuması
Incorrect seal. A new code was issued.	Yanlış mühür. Yeni bir kod verildi.
Infinity Zoom : OFF	Sonsuz Yakınlaştırma : KAPALI
Infinity Zoom : ON	Sonsuz Yakınlaştırma : AÇIK
Info	Bilgi
Int	INT
Invalid passcode. If you enter the wrong passcode more than six times, you will be locked out for 60 minutes.	Geçersiz şifre. Yanlış şifreyi altı defadan fazla girerseniz 60 dakika boyunca kilitlenirsiniz.
INVENTORY VAULT	ENVANTER KASASI
Invite to Party	Partiye Davet Et
Item	Eşya
Item Chest	Eşya Sandığı
Item Chest data was incomplete. Please reopen the chest.	Eşya Sandığı verisi eksik geldi. Lütfen sandığı yeniden açın.
Item Chest request timed out. Reopen the chest before trying again.	Eşya Sandığı isteği zaman aşımına uğradı. Tekrar denemeden önce sandığı yeniden açın.
Item Info	Eşya Bilgisi
Item Points	Eşya Puanı
ITEM POWER	EŞYA GÜCÜ
Item reached the target plus.	Eşya hedef artı seviyesine ulaştı.
Items	Eşyalar
Job is completed.	İşlem tamamlandı.
Keep this stall selling after you close the client?	Oyunu kapattıktan sonra bu tezgâh satışa devam etsin mi?
Kill	Öldürme
Killer	Öldüren
Killer Animation Studio	Öldürme Animasyonu Stüdyosu
Killer Animations	Öldürme Animasyonları
LIMITED EDITION OFFERS	SINIRLI SÜRÜM TEKLİFLERİ
LIVE CHARACTER PREVIEW	CANLI KARAKTER ÖNİZLEMESİ
LIVE EQUIPMENT CHAMBER	CANLI EKİPMAN BÖLMESİ
Loading web page...	Web sayfası yükleniyor...
Loading...	Yükleniyor...
Location	Konum
Lock Item	Eşyayı Kilitle
Log	Kayıt
Lucky powder is not found.	Şans tozu bulunamadı.
Lucky rewards	Şans ödülleri
Lucky Spin	Şans Çarkı
Lucky stone is not found.	Şans taşı bulunamadı.
Lv.	Sv.
Lv. %d	Sv. %d
Mag. absorption %.1f	Büyü emilimi %.1f
Mag. absorption +%.1f	Büyü emilimi +%.1f
Mag. absorption +0	Büyü emilimi +0
Mag. atk. pwr. %d ~ %d	Büyü saldırı gücü %d ~ %d
Mag. atk. pwr. %d ~ +%d	Büyü saldırı gücü %d ~ +%d
Mag. atk. pwr. +%d ~ %d	Büyü saldırı gücü +%d ~ %d
Mag. atk. pwr. +%d ~ +%d	Büyü saldırı gücü +%d ~ +%d
Mag. atk. pwr. +0 ~ +0	Büyü saldırı gücü +0 ~ +0
Mag. def. pwr. %.1f	Büyü savunma gücü %.1f
Mag. def. pwr. +%.1f	Büyü savunma gücü +%.1f
Mag. def. pwr. +0	Büyü savunma gücü +0
Mag. reinforce %.1f%% ~ %.1f%%	Büyü takviyesi %.1f%% ~ %.1f%%
Mag. reinforce %.1f%% ~ +%.1f%%	Büyü takviyesi %.1f%% ~ +%.1f%%
Mag. reinforce +%.1f%% ~ %.1f%%	Büyü takviyesi +%.1f%% ~ %.1f%%
Mag. reinforce +%.1f%% ~ +%.1f%%	Büyü takviyesi +%.1f%% ~ +%.1f%%
Mag. reinforce +0%% ~ +0%%	Büyü takviyesi +0%% ~ +0%%
Mag. reinforce. %.1f%%	Büyü takviyesi %.1f%%
Mag. reinforce. +%.1f%%	Büyü takviyesi +%.1f%%
Mag. reinforce. +0%%	Büyü takviyesi +0%%
Magical Absortion	Büyü Emilimi
Magical Attack Power	Büyü Saldırı Gücü
Magical Defense	Büyü Savunması
Magical Reinforce	Büyü Takviyesi
Manage	Yönet
Map Location	Harita Konumu
Market	Pazar
Max level of the current server is %d.	Mevcut sunucunun maksimum seviyesi %d.
Maximum character member can be add to list.	Listeye eklenebilecek en fazla karakter sayısına ulaşıldı.
Menu	Menü
Model Type	Model Türü
Monster	Canavar
Move	Taşı
Move to party member.	Parti üyesine git.
Move to the location to hunt in and run Auto-Hunt to begin hunting automatically.	Avlanmak istediğiniz yere gidin ve otomatik ava başlamak için Otomatik Av'ı çalıştırın.
Move to the user's set location.	Kayıtlı konuma git.
MP	MP
Name	Ad
New Item Mall	Yeni Item Mall
No achievements are available in this category.	Bu kategoride kullanılabilir başarım yok.
No drop logs found	Düşen eşya kaydı bulunamadı
No rewards configured yet.	Henüz ödül ayarlanmamış.
No saved accounts yet.	Henüz kayıtlı hesap yok.
No special offers configured yet.	Henüz özel teklif ayarlanmamış.
No.	No.
None	Yok
NUMBER OF ATTENDED DAYS	KATILIM SAĞLANAN GÜN SAYISI
Offer price  %d %ls	Teklif fiyatı  %d %ls
Offline Ready	Çevrimdışı Kullanıma Hazır
Offline Stall	Çevrimdışı Tezgâh
Offline Stall activated. You may close the client.	Çevrimdışı Tezgâh etkinleştirildi. İstemciyi kapatabilirsiniz.
Offline Stall activation failed.	Çevrimdışı Tezgâh etkinleştirilemedi.
Onehand sword	Tek elli kılıç
Only from list	Yalnızca listeden
Only party master can be call shadow uniques.	Shadow Unique'leri yalnızca parti lideri çağırabilir.
Open the stall before activating Offline Stall.	Çevrimdışı Tezgâhı etkinleştirmeden önce tezgâhı açın.
Opponent Character	Rakip Karakter
Options	Seçenekler
Original	Orijinal
Other players can show your items!	Diğer oyuncular eşyalarınızı görebilir!
Other players cannot show your items anymore!	Diğer oyuncular artık eşyalarınızı göremez!
Owned	Sahip Olunan
Page	Sayfa
Page %d / %d	Sayfa %d / %d
Page 1 / 1	Sayfa 1 / 1
Parry rate %d	Kaçınma oranı %d
Parry rate +%d	Kaçınma oranı +%d
Parry rate +0	Kaçınma oranı +0
Party	Parti
Password	Şifre
Password : 	Şifre: 
Password changed succesfully. Enter the new passcode.	Şifre başarıyla değiştirildi. Yeni şifreyi girin.
Password confirmation does not match.	Şifre doğrulaması eşleşmiyor.
Password created succesfully. Click the keypad to the right to create a passcode.	Şifre başarıyla oluşturuldu. Şifre oluşturmak için sağdaki tuş takımını kullanın.
Password must be 6-32 characters.	Şifre 6-32 karakter olmalıdır.
Passwords doesnt match.	Şifreler eşleşmiyor.
Pet	Pet
Pet Filter	Pet Filtresi
Pet2 Skills	Pet2 Becerileri
Phy Absortion	Fiziksel Emilim
Phy. absorption %.1f	Fiziksel emilim %.1f
Phy. absorption +%.1f	Fiziksel emilim +%.1f
Phy. absorption +0	Fiziksel emilim +0
Phy. atk. pwr. %d ~ %d	Fiziksel saldırı gücü %d ~ %d
Phy. atk. pwr. %d ~ +%d	Fiziksel saldırı gücü %d ~ +%d
Phy. atk. pwr. +%d ~ %d	Fiziksel saldırı gücü +%d ~ %d
Phy. atk. pwr. +%d ~ +%d	Fiziksel saldırı gücü +%d ~ +%d
Phy. atk. pwr. +0 ~ +0	Fiziksel saldırı gücü +0 ~ +0
Phy. def. pwr. %.1f	Fiziksel savunma gücü %.1f
Phy. def. pwr. +%.1f	Fiziksel savunma gücü +%.1f
Phy. def. pwr. +0	Fiziksel savunma gücü +0
Phy. reinforce %.1f%% ~ %.1f%%	Fiziksel takviye %.1f%% ~ %.1f%%
Phy. reinforce %.1f%% ~ +%.1f%%	Fiziksel takviye %.1f%% ~ +%.1f%%
Phy. reinforce +%.1f%% ~ %.1f%%	Fiziksel takviye +%.1f%% ~ %.1f%%
Phy. reinforce +%.1f%% ~ +%.1f%%	Fiziksel takviye +%.1f%% ~ +%.1f%%
Phy. reinforce +0%% ~ +0%%	Fiziksel takviye +0%% ~ +0%%
Phy. reinforce. %.1f%%	Fiziksel takviye %.1f%%
Phy. reinforce. +%.1f%%	Fiziksel takviye +%.1f%%
Phy. reinforce. +0%%	Fiziksel takviye +0%%
Physical Attack Power	Fiziksel Saldırı Gücü
Physical Defense	Fiziksel Savunma
Physical Reinforce	Fiziksel Takviye
Pick Inventory (%d Items)	Toplama Envanteri (%d Eşya)
Pick Inventory (O)	Toplama Envanteri (O)
Pick up items with Character	Eşyaları karakterle topla
Pick up items with Grap Pet	Eşyaları toplama petiyle topla
Pick up only Rare equips	Yalnızca nadir ekipmanları topla
Play	Oyna
Play price: %d %ls	Oynama ücreti: %d %ls
Player	Oyuncu
Please check your item or stones.	Lütfen eşyanızı veya taşlarınızı kontrol edin.
Please enter character name first.	Lütfen önce karakter adını girin.
Please enter username and password first.	Lütfen önce kullanıcı adını ve şifreyi girin.
Please put an item in the slot.	Lütfen yuvaya bir eşya koyun.
Please select a drop log first.	Lütfen önce bir düşen eşya kaydı seçin.
Please select a monster first.	Lütfen önce bir canavar seçin.
Please select target attributes.	Lütfen hedef özellikleri seçin.
Please select target blues.	Lütfen hedef mavileri seçin.
Plus	Plus
Points	Puan
Poison	Zehir
Popular Items	Popüler Eşyalar
Possible Drops	Olası Düşenler
Possible Drops - %ls (%d Items)	Olası Düşenler - %ls (%d Eşya)
Possible Drops - Failed	Olası Düşenler - Başarısız
Possible Drops - Loading...	Olası Düşenler - Yükleniyor...
Preparing the wheel...	Çark hazırlanıyor...
Press Lucky Spin to try your luck.	Şansınızı denemek için Şans Çarkı'na basın.
Preview	Önizleme
Purchase	Satın Al
Purchase All	Tümünü Satın Al
Purchase List	Satın Alma Listesi
Purchase request timed out. Please try again.	Satın alma isteği zaman aşımına uğradı. Lütfen tekrar deneyin.
Purification Pill	Arındırma Hapı
Put a item and enhancer first.	Önce bir eşya ve güçlendirici yerleştirin.
PvP Challenge	PvP Meydan Okuması
PvP Challenge is disabled.	PvP Meydan Okuması devre dışı.
Qty.	Adet
R. Password : 	Şifre Tekrarı: 
Rank Type :	Sıralama Türü:
Reach to Stat	Hedef Özelliğe Ulaş
Readied Skills	Hazır Beceriler
Ready	Hazır
Ready to activate.	Etkinleştirmeye hazır.
Receive	Al
Red Team	Kırmızı Takım
Refresh	Yenile
Register	Kaydol
Register request sent.	Kayıt isteği gönderildi.
Regular price  %d	Normal fiyat  %d
Remaining time	Kalan süre
Remaining time          %02d:%02d	Kalan süre          %02d:%02d
Remaining time          03:00	Kalan süre          03:00
Remember this PC.	Bu bilgisayarı hatırla.
Remove	Kaldır
Remove Title	Unvanı Kaldır
Request timed out. Please try again.	İstek zaman aşımına uğradı. Lütfen tekrar deneyin.
Required pet level is %d.	Gerekli pet seviyesi %d.
Restart failed	Yeniden başlatma başarısız
Result	Sonuç
Resurrect	Dirilt
Resurrect in town	Şehirde diril
Resurrect Party Members	Parti Üyelerini Dirilt
Reward	Ödül
Rewards are delivered directly to chest.	Ödüller doğrudan sandığa teslim edilir.
Save	Kaydet
Save and move to your desired location.	İstediğiniz konumu kaydedip oraya gidin.
Saved account removed locally.	Kayıtlı hesap bu bilgisayardan silindi.
Saved Accounts	Kayıtlı Hesaplar
Saved login token cannot be opened on this Windows user.	Kayıtlı giriş anahtarı bu Windows kullanıcısında açılamıyor.
Saved quick login character is pending deletion.	Kayıtlı hızlı giriş karakteri silinmeyi bekliyor.
Saved quick login character was not found on this account.	Kayıtlı hızlı giriş karakteri bu hesapta bulunamadı.
Saving character login securely...	Karakter girişi güvenli biçimde kaydediliyor...
Seal expired. Sell the goods again.	Mührün süresi doldu. Malları tekrar satışa koyun.
Search	Ara
Secondary passcode has been entered succesfully.	İkincil şifre başarıyla girildi.
Secondary Password (Remember PC)	İkincil Şifre (Bilgisayarı Hatırla)
Secure Trade Authorization	Güvenli Ticaret Onayı
Select	Seç
Select an achievement to view its requirements and reward.	Gereksinimlerini ve ödülünü görmek için bir başarım seçin.
Select an animation	Bir animasyon seçin
Sending purchase request...	Satın alma isteği gönderiliyor...
Set the % of the HP/Hunger gauge to the desired level to use potions automatically when the gauge reaches that level.  Uncheck any checkbox for the parameter for which you wish to disable the trigger.	HP/Açlık göstergesi belirlediğiniz seviyeye ulaştığında iksirleri otomatik kullanmak için yüzdeyi ayarlayın. Devre dışı bırakmak istediğiniz parametrenin işaretini kaldırın.
Set the % of the HP/MP gauge to the desired level to use potions automatically when the gauge reaches that level.  Uncheck any checkbox for the parameter for which you wish to disable the trigger.	HP/MP göstergesi belirlediğiniz seviyeye ulaştığında iksirleri otomatik kullanmak için yüzdeyi ayarlayın. Devre dışı bırakmak istediğiniz parametrenin işaretini kaldırın.
Set the % of the Vigor HP/MP gauge to the desired level to use potions automatically when the gauge reaches that level.  Uncheck any checkbox for the parameter for which you wish to disable the trigger.	Vigor HP/MP göstergesi belirlediğiniz seviyeye ulaştığında iksirleri otomatik kullanmak için yüzdeyi ayarlayın. Devre dışı bırakmak istediğiniz parametrenin işaretini kaldırın.
Settings	Ayarlar
Shield	Kalkan
Show Fps/Ping Window	FPS/Ping Penceresini Göster
Show Second Bar	İkinci Çubuğu Göster
Silk %s	Silk %s
Silk : %ls	Silk : %ls
Silk amount is not enough for equip translation.	Eşya değiştirme için yeterli Silk yok.
Silk Charge	Silk Yükle
Silk Rank :	Silk Sıralaması:
Skills to Use	Kullanılacak Beceriler
Someone	Bir oyuncu
Spear	Mızrak
Special Offer	Özel Teklif
Special Offers	Özel Teklifler
Special Offers is currently disabled.	Özel Teklifler şu anda devre dışı.
Speed Drug	Hız İksiri
SPIN	ÇEVİR
Spin request timed out. Please try again.	Çevirme isteği zaman aşımına uğradı. Lütfen tekrar deneyin.
SRO Macro	SRO Makro
Start	Başlat
Status	Durum
Steady stone is not found.	Steady taşı bulunamadı.
Stop	Durdur
Str	STR
Summon Trigger	Çağırma Tetikleyicisi
Sword	Kılıç
Take All	Tümünü Al
Target value must be between 1 and 100.	Hedef değer 1 ile 100 arasında olmalıdır.
The alchemy server did not respond. Auto alchemy stopped.	Simya sunucusu yanıt vermedi. Otomatik simya durduruldu.
The code must consist minimum 6 numbers.	Kod en az 6 rakamdan oluşmalıdır.
The code must consist of minimum 6 numbers.	Kod en az 6 rakamdan oluşmalıdır.
The enhancement level on the equipment is gone [-1], because the alchemy enhancement failed.	Simya güçlendirmesi başarısız olduğu için ekipmanın güçlendirme seviyesi düştü [-1].
The enhancement stopped. Check your items	Güçlendirme durdu. Eşyalarınızı kontrol edin.
The item cannot be used on wrong object.	Eşya yanlış hedefte kullanılamaz.
The passcode must be between 6-8 digits.	Şifre 6-8 rakamdan oluşmalıdır.
The selected item is no longer available. Auto alchemy stopped.	Seçilen eşya artık mevcut değil. Otomatik simya durduruldu.
The selected item was removed. Auto alchemy stopped.	Seçilen eşya kaldırıldı. Otomatik simya durduruldu.
The target character is hide self items.	Hedef karakter ekipmanlarını gizliyor.
The wheel is spinning...	Çark dönüyor...
The wheel will stop on your selected reward.	Çark seçtiğiniz ödülde duracak.
These item mall windows are designed and added by own for you valuable players.	Bu Item Mall pencereleri değerli oyuncularımız için özel olarak tasarlanıp eklendi.
This character	Bu karakter
This item is not locked.  Use a locked item.	Bu eşya kilitli değil. Kilitli bir eşya kullanın.
This party member is already added to list.	Bu parti üyesi listeye zaten eklendi.
This place for a SoX item.	Bu alan SoX eşyası içindir.
This purchase cannot complete due to insufficient silks.	Yetersiz Silk nedeniyle satın alma tamamlanamadı.
Time's up!	Süre doldu!
Title Manager	Unvan Yöneticisi
Title Name	Unvan Adı
Titles	Unvanlar
