OldSchema,OldName,NewSchema,NewName
dbo,_PartyMatchingCreated,dbo,Party_MatchingLog
dbo,_PvpChallengeArena,dbo,PVP_Arenas
dbo,_PvpChallengeConfig,dbo,PVP_Settings
dbo,_PvpChallengeKillLog,dbo,PVP_KillLog
dbo,_PvpChallengeMatch,dbo,PVP_Matches
dbo,_Rank_Custom1,dbo,Rank_Data01
dbo,_Rank_Custom2,dbo,Rank_Data02
dbo,_Rank_Custom3,dbo,Rank_Data03
dbo,_Rank_Custom4,dbo,Rank_Data04
dbo,_Rank_Custom5,dbo,Rank_Data05
dbo,_Rank_Custom6,dbo,Rank_Data06
dbo,_Rank_Custom7,dbo,Rank_Data07
dbo,_Rank_Custom8,dbo,Rank_Data08
dbo,_Rank_Custom9,dbo,Rank_Data09
dbo,_RefAchievement,dbo,Achievement_List
dbo,_RefAchievementCondition,dbo,Achievement_Conditions
dbo,_RefAttendanceReward,dbo,Attendance_Rewards
dbo,_RefEventRegister,dbo,Event_RegisterSettings
dbo,_RefEventSchedule,dbo,Event_ScheduleSettings
dbo,_RefFellowPetRefObjID,dbo,Fellow_PetObjectIDs
dbo,_RefFellowPetSystem,dbo,Fellow_Settings
dbo,_RefGlobalColor,dbo,Style_GlobalColors
dbo,_RefHideNameRegionsGS,dbo,Security_HideNameRegions
dbo,_RefHideSkillEffect,dbo,Security_HiddenSkillEffects
dbo,_RefIconsMediaPath,dbo,Style_IconFiles
dbo,_RefLoggerMobKill,dbo,Log_MobKillSettings
dbo,_RefMapSettings,dbo,Map_Settings
dbo,_RefNewAvatarMall,dbo,Mall_Avatars
dbo,_RefNewItemMall,dbo,Mall_Items
dbo,_RefNewItemMallCategories,dbo,Mall_Categories
dbo,_RefRankCategories,dbo,Rank_Categories
dbo,_RefTitleNameNew,dbo,Style_Titles
dbo,_RegionAttackRule,dbo,Security_RegionAttackRules
dbo,_Scheduler,dbo,System_Schedule
dbo,_SecureQuickLoginLogs,dbo,QuickLogin_Log
dbo,_SecureQuickLoginServerSecret,dbo,QuickLogin_ServerSecret
dbo,_SecureQuickLoginTokens,dbo,QuickLogin_Tokens
dbo,_ServerAutoCapebyRegionID,dbo,Style_AutoCapeRegions
dbo,_SilkRank,dbo,Rank_Silk
dbo,_SpecialOfferLog,dbo,Offer_PurchaseLog
dbo,_SpecialOffers,dbo,Offer_List
dbo,_StallCreateLog,dbo,Stall_CreateLog
dbo,_TeleportFreezeCommand,dbo,Teleport_FreezeQueue
dbo,_TimedDevillPlus,dbo,Item_TimedDevilPlus
dbo,_TimedItemPlus,dbo,Item_TimedPlus
dbo,_UniqueBuildMap,dbo,Unique_BuildMap
dbo,_WebViewerButtons,dbo,Web_Buttons
dbo,AdminAuditLog,dbo,Admin_AuditLog
dbo,BlockedWords,dbo,Security_BlockedWords
dbo,CharKillLog,dbo,Log_PlayerKills
dbo,ChatLog,dbo,Log_Chat
dbo,EventSchedule,dbo,Event_Schedule
dbo,OfflineStalls,dbo,Stall_Offline
dbo,region_control,dbo,Security_RegionChat
dbo,RegionBlockSkill,dbo,Security_RegionBlockedSkills
dbo,SilkStallTransactions,dbo,Stall_SilkTransactions
dbo,SkillControl,dbo,Security_SkillRules
dbo,teleport_control,dbo,Teleport_RulesLegacy
dbo,TeleportControlRules,dbo,Teleport_TimeRules
