OldSchema,OldName,NewSchema,NewName
dbo,_OnEventRegister_EDIT,hooks,OnEventRegistered
dbo,_OnGameServerStartup_EDIT,hooks,OnGameServerStarted
dbo,_OnItemPurchasedFromNPC_EDIT,hooks,OnNpcItemPurchased
dbo,_OnNewItemMallPurchased_EDIT,hooks,OnItemMallPurchased
dbo,_OnPartyJoined_EDIT,hooks,OnPartyJoined
dbo,_OnPartyMatchingCreated_EDIT,hooks,OnPartyMatchingCreated
dbo,_OnSelectableScroll_Used_EDIT,hooks,OnSelectableScrollUsed
dbo,_OnStallCreate,hooks,OnStallCreated
dbo,_OnTeleportControl_EDIT,hooks,OnTeleportControl
dbo,_OnTradeGoodsBuyingComplete_EDIT,trade,CompleteGoodsPurchase
dbo,_OnTradeGoodsBuyingRequest_EDIT,trade,ValidateGoodsPurchase
dbo,_OnTradeGoodsSellingComplete_EDIT,trade,CompleteGoodsSale
dbo,_OnTradeGoodsSellingRequest_EDIT,trade,ValidateGoodsSale
dbo,_OnUniqueEntered,hooks,OnUniqueEntered
dbo,_OnUniqueKilled,hooks,OnUniqueKilled
dbo,_ProcessAddLogChar,logs,ProcessCharacterLog
dbo,_RemoveIconLeftSide,appearance,RemoveLeftIcon
dbo,_RemoveIconRightSide,appearance,RemoveRightIcon
dbo,_RemoveNameColor,appearance,RemoveNameColor
dbo,_RemoveNewTitle,appearance,RemoveTitle
dbo,_RemoveTitleColor,appearance,RemoveTitleColor
dbo,_SaveMacroAutoPotionSetting,ui,SaveAutoPotionMacro
dbo,_self_Teleport,teleport,SelfTeleport
dbo,_SendDisconnectByCharID,commands,DisconnectByCharacterId
dbo,_SendDisconnectByCharName16,commands,DisconnectByCharacterName
dbo,_SendDisconnectToAllServer,commands,DisconnectAll
dbo,_SendMapPingByCharId,commands,SendMapPingByCharacterId
dbo,_SendNoticeByCharId,commands,SendNoticeByCharacterId
dbo,_SendNoticeByCharName16,commands,SendNoticeByCharacterName
dbo,_SendNoticeToServer,commands,BroadcastNotice
dbo,_TradeBonus_Give,trade,GiveBonus
dbo,_TradeBonus_Grant_Rolling,trade,GrantRollingBonus
dbo,_TradeRolling_BumpMember,trade,BumpRollingMember
dbo,_UpdateAchievement,achievements,UpdateProgress
dbo,_UpdateClientConfig,player,UpdateClientConfig
dbo,_UpdateIconLeftSide,appearance,UpdateLeftIcon
dbo,_UpdateIconRightSide,appearance,UpdateRightIcon
dbo,_UpdateMacroSetting,ui,UpdateMacroSettings
dbo,_UpdateNameColor,appearance,UpdateNameColor
dbo,_UpdateNewTitle,appearance,UpdateTitle
dbo,_UpdateTitleColor,appearance,UpdateTitleColor

